ข้อที่,คำถาม,1,2,3,4,เฉลย,เฉลย,เฉลย,,,,,,,,,
65,บุคคลใดปฏิบัติตนเป็นผู้อนุรักษ์วัฒนธรรมในท้องถิ่นของตนได้เหมาะสมมากที่สุด, สมหญิงฝึกรำไทย,สมใจฝึกร้องเพลงทุกวัน,สมทรงขับรถยนต์คันงามไปทำบุญ,สมศรีรับประทานสลัดทุกวัน,1," สมหญิงฝึกรำไทย เพราะเป็นการสืบต่อวัฒนธรรมทางด้านการแสดงของไทยที่มีมาตั้งแต่โบราณให้คงอยู่
กับสังคมไทยต่อไป","ตอบ 1.  สมหญิงฝึกรำไทย เพราะเป็นการสืบต่อวัฒนธรรมทางด้านการแสดงของไทยที่มีมาตั้งแต่โบราณให้คงอยู่
กับสังคมไทยต่อไป",,,,,,,,,
66,วัฒนธรรมไทยได้รับอิทธิพลมาจากความเชื่อทางศาสนาใด,ศาสนาพุทธ,ศาสนาคริสต์,ศาสนาอิสลาม,ศาสนาซิกข์,1," ศาสนาพุทธ  เพราะจากอดีตมาจนถึงปัจจุบัน  วัฒนธรรมไทยได้รับอิทธิพบมากจากความเชื่อของศาสนาพุทธ
มากที่สุด ซึ่งเป็นความเชื่อที่ได้รับมาจากอินเดียตั้งแต่สมัยพระเจ้าอโศกมหาราช","ตอบ 1.  ศาสนาพุทธ  เพราะจากอดีตมาจนถึงปัจจุบัน  วัฒนธรรมไทยได้รับอิทธิพบมากจากความเชื่อของศาสนาพุทธ
มากที่สุด ซึ่งเป็นความเชื่อที่ได้รับมาจากอินเดียตั้งแต่สมัยพระเจ้าอโศกมหาราช",,,,,,,,,
67,วัฒนธรรมไทยที่ได้รับแบบอย่างมาจากประเทศจีนได้แก่ด้านใด,ด้านกฏหมาย,ด้านการนับถือศาสนา,ด้านการค้า,ด้านการเมืองการปกครอง,3," ด้านการค้า  เพราะในสมัยโบราณวัฒนธรรมที่ไทยได้รับแบบอย่างมาจากประเทศจีนส่วนใหญ่เป็นวัฒนธรรม
ทางด้านการค้า  เช่น  การเดินเรือ  การค้าแบบรัฐบรรณาการ","ตอบ 3.  ด้านการค้า  เพราะในสมัยโบราณวัฒนธรรมที่ไทยได้รับแบบอย่างมาจากประเทศจีนส่วนใหญ่เป็นวัฒนธรรม
ทางด้านการค้า  เช่น  การเดินเรือ  การค้าแบบรัฐบรรณาการ",,,,,,,,,
68,การทอดผ้าป่า สามารถทำได้ในช่วงเวลาใด,เข้าพรรษา,ก่อนเข้าพรรษา,หลังออกพรรษา,สามารถทำได้ตลอดปี,4," สามารถทำได้ตลอดปี  เพราะการนำผ้าจีวรไปให้พระสงฆ์รับไปโดยไม่มีการเจาะจงรูปใดรูปหนึ่ง เป็นพิธี
กรรมที่สามารถทำได้ตลอดปี ได้กุศลแรง","ตอบ 4   สามารถทำได้ตลอดปี  เพราะการนำผ้าจีวรไปให้พระสงฆ์รับไปโดยไม่มีการเจาะจงรูปใดรูปหนึ่ง เป็นพิธี
กรรมที่สามารถทำได้ตลอดปี ได้กุศลแรง",,,,,,,,,
69,มารยาทในการแสดงความเคารพด้วยการกราบ ตรงกับข้อใด,วันทา,อภิวาท,อัญชลี,นอบน้อม,2,อภิวาท  เพราะมารยาทในการกราบ  เรียกว่า  อภิวาท  โดยการกราพระจะกราบ  3  ครั้ง,ตอบ 2  อภิวาท  เพราะมารยาทในการกราบ  เรียกว่า  อภิวาท  โดยการกราพระจะกราบ  3  ครั้ง,,,,,,,,,
70,มารยาทในการยืนเพื่อแสดงความเคารพผู้ใหญ่มีลักษณะอย่างไร,การยืนตรงด้านข้างๆ ผู้ใหญ่,การยืนตรงด้านหน้าผู้ใหญ่,การยืนตรงด้านหลังของผู้ใหญ่,การยืนเฉียงด้านด้านหนึ่งของผู้ใหญ่,4," การยืนตรงเฉียงด้านใดด้านหนึ่งของผู้ใหญ่  เพราะการแสดงความเคารพผู้ใหญ่ไม่ควรยืนต่อหน้าผู้ใหญ่
ควรยืนเฉียงไปด้านใดด้านหนึ่งโดยการยืนตรงเท้าชิด มือประสานกันระดับเอว อยู่ห่างจากผู้ใหญ่พอสมควร","ตอบ 4.  การยืนตรงเฉียงด้านใดด้านหนึ่งของผู้ใหญ่  เพราะการแสดงความเคารพผู้ใหญ่ไม่ควรยืนต่อหน้าผู้ใหญ่
ควรยืนเฉียงไปด้านใดด้านหนึ่งโดยการยืนตรงเท้าชิด มือประสานกันระดับเอว อยู่ห่างจากผู้ใหญ่พอสมควร",,,,,,,,,
71,ตามกฏหมายทะเบียนราษฏร์ เมื่อมีคนเกิดในบ้าน เจ้าของบ้านจะต้องแจ้งเกิดภายในระยะเวลาเท่าใด,ระยะเวลา 15 วัน,ระยะเวลา 10 วัน,ระยะเวลา 7 วัน,ระยะเวลา 12 วัน,1,"ระยะเวลา  15 วัน  เพราะเมื่อมีคนเกิดในบ้าน  เจ้าบ้านจะต้องแจ้งต่อนายทะเบียนภายในระยะเวลา  15 วัน
โดยสามารถแจ้งได้ที่ว่าการอำเภอหรือที่ว่าการจังหวัดหรือสำนักงานเขตต่างๆ ซึ่งเป็นท้องที่ที่เด็กเกิด","ตอบ 1  ระยะเวลา  15 วัน  เพราะเมื่อมีคนเกิดในบ้าน  เจ้าบ้านจะต้องแจ้งต่อนายทะเบียนภายในระยะเวลา  15 วัน
โดยสามารถแจ้งได้ที่ว่าการอำเภอหรือที่ว่าการจังหวัดหรือสำนักงานเขตต่างๆ ซึ่งเป็นท้องที่ที่เด็กเกิด",,,,,,,,,
72,การนั่งเตรียมเพื่อกราบแบบเบญจางคประดิษฐ์ ใครที่ต้องนั่งแบบเทพบุตร,ผู้หญิง,เด็กนักเรียน,ทั้งผู้ชายและผู้หญิง,ผู้ชาย,4, ผู้ชาย  เพราะผู้ชายจะนั่งแบบเทพบุตรที่เป็นการนั่งบนส้นเท้าทั้งสองข้าง,ตอบ 4.  ผู้ชาย  เพราะผู้ชายจะนั่งแบบเทพบุตรที่เป็นการนั่งบนส้นเท้าทั้งสองข้าง,,,,,,,,,
73,มารยาทในการแสดงกิริยาอาการที่เหมาะสม มีลักษณะอย่างใด,วางตัวตามสบาย,วางตัวอย่างเป็นทางการ,วางตัวสุภาพเรียบร้อย,การวางตัวเป็นกันเอง,3," วางตัวสุภาพเรียบร้อย  เพราะมารยาทที่แสดงกิริยาอาการเป็นมารยาทที่แสดงออกทางกายจะต้องวางตัวที่
สุภาพเรียบร้อยเหมาะสมกับสถานที่และบุคคล","ตอบ 3.  วางตัวสุภาพเรียบร้อย  เพราะมารยาทที่แสดงกิริยาอาการเป็นมารยาทที่แสดงออกทางกายจะต้องวางตัวที่
สุภาพเรียบร้อยเหมาะสมกับสถานที่และบุคคล",,,,,,,,,
74,สิ่งที่มีอิทธิพลต่อวัฒนธรรมไทยมากที่สุด,ลักษณะทางด้านเชื้อชาติ,ภูมิอากาศ,ลักษณะทางภูมิศาสตร์,พิกัดหรือตำแหน่งที่ตั้ง,3, ลักษณะทางภูมิศาสตร์  เพราะวัฒนธรรมเป็นการปรับตัวของมนุษย์เพื่อให้เหมาะสมกับสภาพแวดล้อมมากที่สุด,ตอบ 3.  ลักษณะทางภูมิศาสตร์  เพราะวัฒนธรรมเป็นการปรับตัวของมนุษย์เพื่อให้เหมาะสมกับสภาพแวดล้อมมากที่สุด,,,,,,,,,
75,กฏหมายยาเสพติดให้โทษ บุคคลที่จะต้องรับโทษหนักคือข้อใด,ผู้โฆษณาเพื่อการค้า,ผู้เสพ,ผู้จำหน่ายหรือมีไว้ครอบครอง,ผู้ผลิต นำเข้า และส่งออก,4," ผู้ผลิต นำเข้า และส่งออก เพราะผู้ผลิต นำเข้า และส่งออก ซึ่งยาเสพติดประเภทที่ 1 มีความผิดร้ายแรงที่สุด
ถึงประหารชีวิต","ตอบ 4.  ผู้ผลิต นำเข้า และส่งออก เพราะผู้ผลิต นำเข้า และส่งออก ซึ่งยาเสพติดประเภทที่ 1 มีความผิดร้ายแรงที่สุด
ถึงประหารชีวิต",,,,,,,,,
76,การบริหารราชการส่วนท้องถิ่นของประเทศไทยมีกี่รูปแบบ,มี 6 รูปแบบ,มี 3 รูปแบบ,มี 4 รูปแบบ,มี 5 รูปแบบ,4," มี 5 รูปแบบ เพราะรูปแบบการจัดการบริหารส่วนท้องถิ่นของไทยปัจจุบันมี 5 รูปแบบคือ  องค์การบริหารส่วน-
ตำบล  องค์การบริหารส่วนจังหวัด เทศบาล พัทยา กรุงเทพมหานคร","ตอบ 4.  มี 5 รูปแบบ เพราะรูปแบบการจัดการบริหารส่วนท้องถิ่นของไทยปัจจุบันมี 5 รูปแบบคือ  องค์การบริหารส่วน-
ตำบล  องค์การบริหารส่วนจังหวัด เทศบาล พัทยา กรุงเทพมหานคร",,,,,,,,,
77,การพัฒนาพื้นที่ในเขตจังหวัดให้มีความเจริญรุ่งเรืองจะต้องเป็นหน้าที่ของหน่วยงานใด,ผู้ว่าราชการจังหวัด,องค์การบริหารส่วนจังหวัด,กระทรวงการคลัง,กระทรวงพัฒนาสังคมและความมั่นคงของมนุษย์,2," องค์การบริหารส่วนจังหวัด เพราะเป็นบทบาทหน้าที่ขององค์การบริหารส่วนจังหวัดที่ต้องพัฒนาพื้นที่ในเขต
ให้มีความเจริญรุ่งเรือง รวมถึงการพัฒนาคุณภาพของประชาชนในจังหวัด","ตอบ 2.  องค์การบริหารส่วนจังหวัด เพราะเป็นบทบาทหน้าที่ขององค์การบริหารส่วนจังหวัดที่ต้องพัฒนาพื้นที่ในเขต
ให้มีความเจริญรุ่งเรือง รวมถึงการพัฒนาคุณภาพของประชาชนในจังหวัด",,,,,,,,,
78,ก่อนออกไปใช้สิทธิในการเลือกตั้งทุกครั้ง ขั้นตอนแรกที่ประชาชนควรปฏิบัติคือข้อใด,การไปสำรวจหน่วยเลือกตั้ง,การตรวจสอบรายชื่อหน้าหน่วยเลือกตั้ง,การตรวจสอบรายชื่อลุณสมบัติผู้สมัคร,การตรวจสอบรายชื่อในทะเบียนบ้าน,2," การตรวจสอบรายชื่อหน้าหน่วยเลือกตั้ง เพราะให้รู้ว่าเรามีชื่อหรือไม่ ถ้าหากไม่มีก็แจ้งชื่อเพิ่มเติม
ที่เจ้าหน้าที่เขตหรืออำเภอ","ตอบ 2.  การตรวจสอบรายชื่อหน้าหน่วยเลือกตั้ง เพราะให้รู้ว่าเรามีชื่อหรือไม่ ถ้าหากไม่มีก็แจ้งชื่อเพิ่มเติม
ที่เจ้าหน้าที่เขตหรืออำเภอ",,,,,,,,,
79,การปกครองในระบอบประชาธิปไตย ใครเป็นผู้มีสิทธิเลือกตั้ง,ผู้วิกลจริต,ผู้ที่มีอายุ 18 ปีบริบูรณ์,พระภิกษุ สามเณร,ผู้ที่ทำผิดกฏหมาย,2," ผู้มีอายุ  18 ปีบริบูรณ์ขึ้นไป เพราะกฏหมายเลือกตั้งบัญญัติให้ผู้ที่มีสิทธ์เลือกตั้งเป็นคนไทยอายะ  18  ปี บริบูรณ์
 ขึ้นไป มีชื่ออยู่ในทะเบียนบ้านในเขตเลือกตั้งไม่น้อยกว่า 90 วัน และไม่เป็นบุคคลต้องห้าม","ตอบ 2.  ผู้มีอายุ  18 ปีบริบูรณ์ขึ้นไป เพราะกฏหมายเลือกตั้งบัญญัติให้ผู้ที่มีสิทธ์เลือกตั้งเป็นคนไทยอายะ  18  ปี บริบูรณ์
 ขึ้นไป มีชื่ออยู่ในทะเบียนบ้านในเขตเลือกตั้งไม่น้อยกว่า 90 วัน และไม่เป็นบุคคลต้องห้าม",,,,,,,,,
80,มารยาทไทยนั้นมีความสำคัญกับใครมากที่สุด,ครู,ประชาชนชาวไทยทุกคน,นักเรียน,ทหาร ตำรวจ,2,"ประชาชนชาวไทยทุกคน เพราะเป็นการแสดงกิริยาทั้งกายและวาจาต่อผู้อื่นอย่างสุภาพเหมาะสม ทำให้ได้รับ
การยกย่องจากทั่วโลก เป็นสิ่งที่มีความสำคัญต่อประชาชนคนไทยทุกคนที่จะต้องสืบทอดไว้","ตอบ 2. ประชาชนชาวไทยทุกคน เพราะเป็นการแสดงกิริยาทั้งกายและวาจาต่อผู้อื่นอย่างสุภาพเหมาะสม ทำให้ได้รับ
การยกย่องจากทั่วโลก เป็นสิ่งที่มีความสำคัญต่อประชาชนคนไทยทุกคนที่จะต้องสืบทอดไว้",,,,,,,,,
81,การผลิตสินค้าที่เป็นมิตรต่อสิ่งแวดล้อมมีลักษณะสำคัญอย่างใด,การผลิตสินค้าที่ทำให้เกิดเสียงดัง,การผลิตสินค้าที่ทำให้เกิดน้ำเน่าเสีย,การผลิตสินค้าที่ปล่อยควันพิษขึ้นสู่อากาศ,การผลิตสินค้าที่ไม่ก่อให้เกิดมลพิษ,4," การผลิตสินค้าที่ไม่ก่อให้เกิดมลพิษ  เพราะการผลิตสินค้าที่เป็นมิตรต่อสิ่งแวดล้อม เป็นลักษณะการผลิตสินค้า
ที่ไม่ก่อให้เกิดมลพิษในสภาพแวดล้อม เช่น  ไม่มีควันพิษ ไม่มีเสียงดังจนเกินไป หรือไม่ปล่อยน้ำเสียลงสู่แม่น้ำลำธาร 
เป็นต้น","ตอบ 4.  การผลิตสินค้าที่ไม่ก่อให้เกิดมลพิษ  เพราะการผลิตสินค้าที่เป็นมิตรต่อสิ่งแวดล้อม เป็นลักษณะการผลิตสินค้า
ที่ไม่ก่อให้เกิดมลพิษในสภาพแวดล้อม เช่น  ไม่มีควันพิษ ไม่มีเสียงดังจนเกินไป หรือไม่ปล่อยน้ำเสียลงสู่แม่น้ำลำธาร 
เป็นต้น",,,,,,,,,
82,การอนุรักษ์ทรัพยากรธรรมชาติให้คงอยู่นานที่สุดของผู้ผลิตคือวิธีใด,การใช้ทรัพยากรธรรมชาติให้มีประสิทธิภาพสูงสุด,การใช้ทรัพยากรธรรมชาติให้มีประสิทธิภาพน้อยที่สุด,การสร้างจิตสำนึกเรื่องการใช้ทรัพยากรธรรมชาติแก่ประชาชน,การใช้ทรัพยากรธรรมชาติที่หาได้ในท้องถิ่น,3," การสร้างจิตสำนึกเรื่องการใช้ทรัพยากรธรรมชาติแก่ประชาชน เพราะการอนุรักษ์ทรัพยากระรรมชาติให้ยั่งยืน  
สามารถทำได้โดยการสร้างจิตสำนึกเรื่องการอนุรักษ์ทรัพยากรธรรมชาติให้แก่ประชาชน  โดยเมื่อประชาชนมีความรู้
ความเข้าใจในคุณค่าของทรัพยากรธรรมชาติแล้วก็จะเกิดความหวงแหน ช่วยกันรักษาดูแล ซึ่งเป็นวิธีการที่ยั่งยืนมากที่สุด","ตอบ 3.  การสร้างจิตสำนึกเรื่องการใช้ทรัพยากรธรรมชาติแก่ประชาชน เพราะการอนุรักษ์ทรัพยากระรรมชาติให้ยั่งยืน  
สามารถทำได้โดยการสร้างจิตสำนึกเรื่องการอนุรักษ์ทรัพยากรธรรมชาติให้แก่ประชาชน  โดยเมื่อประชาชนมีความรู้
ความเข้าใจในคุณค่าของทรัพยากรธรรมชาติแล้วก็จะเกิดความหวงแหน ช่วยกันรักษาดูแล ซึ่งเป็นวิธีการที่ยั่งยืนมากที่สุด",,,,,,,,,
83,ทรัพยากรมีความสำคัญต่อการดำรงชีวิตของมนุษย์ในด้านใดมากที่สุด,เป็นปัจจัยพื้นฐานในการดำรงชีวิตของมนุษย์,เป็นสถานที่สำหรับพักผ่อนหย่อนใจของมนุษย์,เป็นแหล่งกำเนิดเกี่ยวกับความเชื่อของมนุษย์,เป็นที่อยู่ของเทพยดาต่างๆ,1," เป็นปัจจัยพื้นฐานในการดำรงชีวิตของมนุษย์  เพราะในการดำเนินชีวิตประจำวันของมนุษย์ต้องพึ่งพา
ทรัพยากรเป็นอย่างมาก เนื่องจากเป็นวัตถุดิบที่สำคัญที่นำไปใช้ในการผลิตสินค้าและบริการ เพื่อให้ในการอุปโภค
ของประชาชน","ตอบ 1.  เป็นปัจจัยพื้นฐานในการดำรงชีวิตของมนุษย์  เพราะในการดำเนินชีวิตประจำวันของมนุษย์ต้องพึ่งพา
ทรัพยากรเป็นอย่างมาก เนื่องจากเป็นวัตถุดิบที่สำคัญที่นำไปใช้ในการผลิตสินค้าและบริการ เพื่อให้ในการอุปโภค
ของประชาชน",,,,,,,,,
84,การใช้ทรัพยากรให้มีประสิทธิภาพสูงสุดสามารถทำได้โดยวิธีใด,ดคิดค้นวิจัยหาความรู้เกี่ยวกับทรัพยากร,ใช้ทรัพยากรเท่าที่มีอยู่,เสาะแสวงหาแหล่งทรัพยากรเพื่อนำมาใช้ทดแทน,การใช้ทรัพยากรให้น้อยลงโยลดการผลิตสินค้าและบริการลง,1,"คิดค้นวิจัยหาความรู้เกี่ยวกับทรัพยากร เพริธีการในการใช้ทรัพยากรให้มีประสิทธิภาพสูงสุดจะต้องมีการคิดค้น
วิจัย  ศึกษาหาความรู้ เพื่อหาวิธีการใช้ทรัพยากรในการผลิตสินค้าและบริการให้มีประสิทธิภาพ ลดการสิ้นเปลือง
ทรัพยากรลง","ตอบ 1. คิดค้นวิจัยหาความรู้เกี่ยวกับทรัพยากร เพริธีการในการใช้ทรัพยากรให้มีประสิทธิภาพสูงสุดจะต้องมีการคิดค้น
วิจัย  ศึกษาหาความรู้ เพื่อหาวิธีการใช้ทรัพยากรในการผลิตสินค้าและบริการให้มีประสิทธิภาพ ลดการสิ้นเปลือง
ทรัพยากรลง",,,,,,,,,
85,การอนุรักษ์ทรัพยากรธรรมชาติที่ยั่งยืนจำเป็นต้องได้รับความร่วมมือจากใครมากที่สุด,ผู้นำประชาชน,ประชาชนในท้องถิ่น,หน่วยงานภาครัฐ,หน่วยงานภาคเอกชน,2," ประชาชนในท้องถิ่น เพราะในการอนุรักษณ์ทรัพยากรธรรมชาติที่ยั่งยืนต้องได้รับความร่วมมือจากประชาชร
ในท้องถิ่นจึงจะประสบความสำเร็จ เป็นการสร้างจิตสำนึกความเป็นเจ้าของทรัพยากรธรรมชาติร่วมกัน","ตอบ 2.  ประชาชนในท้องถิ่น เพราะในการอนุรักษณ์ทรัพยากรธรรมชาติที่ยั่งยืนต้องได้รับความร่วมมือจากประชาชร
ในท้องถิ่นจึงจะประสบความสำเร็จ เป็นการสร้างจิตสำนึกความเป็นเจ้าของทรัพยากรธรรมชาติร่วมกัน",,,,,,,,,
86,ความต้องการบริโภคสินค้าและความต้องการของประชาชนมีลักษณะอย่างใด,มีความต้องการที่จำกัด,มีความต้องการที่ไม่จำกัด,มีความต้องการเฉพาะสินค้าและบริการที่จำเป็น,มีความต้องการเฉพาะสินค้าที่นำเข้าจากต่างประเทศ,2," มีความต้องการที่ไม่จำกัด เพราะในความต้องการของผู้บริโภคในทางเศรษฐศาสตร์มีความต้องการที่ไม่จำกัด
จึงทำให้มีการผลิตสินค้าและมีผู้บริการเพิ่มขึ้นด้วย","ตอบ 2.  มีความต้องการที่ไม่จำกัด เพราะในความต้องการของผู้บริโภคในทางเศรษฐศาสตร์มีความต้องการที่ไม่จำกัด
จึงทำให้มีการผลิตสินค้าและมีผู้บริการเพิ่มขึ้นด้วย",,,,,,,,,
87,หน่วยเศรษฐกิจที่ทำหน้าที่ดูแลกิจกรรมทางเศรษฐกิจทั้งหมดคือข้อใด,หน่วยครัวเรือน,หน่วยธุรกิจ,หน่วยบริษัท,หน่วยรัฐบาล,4,"หน่วยรัฐบาล เพราะทำหน้าที่ควบคุมดูแลกิจกรรมทางเศรษฐกิจต่างๆ ของประเทศ เพื่อให้เกิดความเป็น
ธรรมแก่ประชาชน","ตอบ 4. หน่วยรัฐบาล เพราะทำหน้าที่ควบคุมดูแลกิจกรรมทางเศรษฐกิจต่างๆ ของประเทศ เพื่อให้เกิดความเป็น
ธรรมแก่ประชาชน",,,,,,,,,
88,หน่วยงานในการจัดเก็บภาษีที่มีความสำคัญมากที่สุดคือหน่วยงานใด,กรมสรรพากร,กรมสรรพสามิต,กรมศุลกากร,กรมการค้าภายใน,1," กรมสรรพากร  เพราะเป็นหน่วยงานที่มีบทบาทสำคัญที่สุดในการเก็บภาษีอากรจากประชาชนโดยมี
มูลค่าของภาษีที่เก็บจากประชาชนส่วนใหญ่มาจากการเก็บภาษีเงินได้บุคคลธรรมดา","ตอบ 1.  กรมสรรพากร  เพราะเป็นหน่วยงานที่มีบทบาทสำคัญที่สุดในการเก็บภาษีอากรจากประชาชนโดยมี
มูลค่าของภาษีที่เก็บจากประชาชนส่วนใหญ่มาจากการเก็บภาษีเงินได้บุคคลธรรมดา",,,,,,,,,
89,การศึกษาทางประวัติศาสตร์ในการค้นหาข้อมูล ใครมีวิธีการที่เหมาะสมที่สุด,ด.ญ.แดงไปค้นว้าในห้องสมุดของโรงเรียน,ด.ญ.นิดไปค้นคว้าจากหลักฐานในวัด,ด.ช.ทวีไปสอบถามข้อมูลจากผู้อาวุโสในชุมชน,ด.ช.มนต์ศึกษาในห้องสมุด แหล่งโบราณต่างๆ และสอบถามผู้อาวุโส,4,"ด.ช. มนต์   ศึกษาในห้องสมุด แหล่งโบราณต่งๆ และสอบถามผู้อาวุโส เพราะขั้นตอนในการค้นคว้าหาข้อมูล
ตามวีการศึกษาทางประวัติศาสตร์ที่ดีควรศึกษาหาข้อมูลจากแหล่งข้อมูลที่หลากหลาย จะทำให้ได้ข้อมูลที่แตกต่างกัน
และเป็นประโยชน์อย่างมากต่อการศึกษา","ตอบ 4. ด.ช. มนต์   ศึกษาในห้องสมุด แหล่งโบราณต่งๆ และสอบถามผู้อาวุโส เพราะขั้นตอนในการค้นคว้าหาข้อมูล
ตามวีการศึกษาทางประวัติศาสตร์ที่ดีควรศึกษาหาข้อมูลจากแหล่งข้อมูลที่หลากหลาย จะทำให้ได้ข้อมูลที่แตกต่างกัน
และเป็นประโยชน์อย่างมากต่อการศึกษา",,,,,,,,,
90,การเลิกทาสของไทยเกิดขึ้นในรัชกาลใดของกรุงรัตนโกสินทร์,รัชกาลที่ 3,รัชกาลที่ 4,รัชกาลที่ 5,รัชกาลที่ 6,3, รัชกาลที่ 5 เพราะการประกาศเลิกทาสทำให้คนไทยทุกคนมีสิทธิเท่าเทียมกัน,ตอบ 3.  รัชกาลที่ 5 เพราะการประกาศเลิกทาสทำให้คนไทยทุกคนมีสิทธิเท่าเทียมกัน,,,,,,,,,
91,การประกาศใช้กฏหมายฉบับใดของไทยที่ทำให้ประชาชนทุกคนมีสิทธิเสรีภาพเท่าเทียมกัน,กฏหมายเลิกทาส,กฏหมายเลิกไพร่,กฏหมายตราสามดวง,กฏหมายราชศาสตร์,1," กฏหมายเลิกทาส  เพราะสังคมไทยเป็นสังคมแห่งชนชั้น โดยแบ่งผู้คนออกเป็นชนชั้นต่างๆ โดยใช้ศักดินา
เป็นตัวกำหนด หลังจากรัชกาลที่ 5  ประกาศกฏหมายเลิกทาส ทำให้สังคมไทยไม่มีชนชั้น ประชาชนทุกคนมีสิทธิ์
เท่าเทียมกัน","ตอบ 1.  กฏหมายเลิกทาส  เพราะสังคมไทยเป็นสังคมแห่งชนชั้น โดยแบ่งผู้คนออกเป็นชนชั้นต่างๆ โดยใช้ศักดินา
เป็นตัวกำหนด หลังจากรัชกาลที่ 5  ประกาศกฏหมายเลิกทาส ทำให้สังคมไทยไม่มีชนชั้น ประชาชนทุกคนมีสิทธิ์
เท่าเทียมกัน",,,,,,,,,
92,ประเทศใดที่ไม่จัดเป็นประเทศที่ตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้,ประเทศฟิลิปปินส์,ประเทศอินโดนีเชีย,ประเทศอินเดีย,ประเทศไทย,3,"ประเทศอินเดีย  เพราะอินเดียไม่จัดว่าเป็นประเทศที่ตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้ 
ภูมิภาคในเอเชียตะวันออกเฉียงใต้ประกอบไปด้วย  11 ประเทศ","ตอบ 3. ประเทศอินเดีย  เพราะอินเดียไม่จัดว่าเป็นประเทศที่ตั้งอยู่ในภูมิภาคเอเชียตะวันออกเฉียงใต้ 
ภูมิภาคในเอเชียตะวันออกเฉียงใต้ประกอบไปด้วย  11 ประเทศ",,,,,,,,,
93,ประชาชนในภูมิภาคเอเชียตะวันออกเฉียงใต้ส่วนใหญ่จัดเป็นคนเผ่าใด,เผ่านิกรอยด์,เผ่าคอเคซอยด์,เผ่ามองโกลอยด์,เผ่าอาหรับ, ,  เผ่ามองโกลอยด์ เพราะชนเผ่ามองโกลอยด์มีลักษณะที่สำคัญ คือ  มีผิวสีเหลือง  ผมสีดำ  เป็นต้น,ตอบ  3.  เผ่ามองโกลอยด์ เพราะชนเผ่ามองโกลอยด์มีลักษณะที่สำคัญ คือ  มีผิวสีเหลือง  ผมสีดำ  เป็นต้น,,,,,,,,,
94,ปัจจุบันประเทศส่วนใหญ่ในภูมิภาคเอเชียตะวันออกเฉียงใต้มีการปกครองในรูปแบบใด,ประชาธิปไตย,เผด็จการ,คอมมิวนิสด์,เทวราชา,1," ประชาธิปไตย  เพราะประเทศส่วนใหญ่ในภูมิภาคเอเชียตะวันออกเฉียงใต้ปกครองในระบบประชาธิปไตย
  เช่น  ไทย  สิงคโปร์  มาเลเซีย  ฟิลิปปินส์  อินโดนีเซีย  และติมอร์ -เลสเต","ตอบ 1.  ประชาธิปไตย  เพราะประเทศส่วนใหญ่ในภูมิภาคเอเชียตะวันออกเฉียงใต้ปกครองในระบบประชาธิปไตย
  เช่น  ไทย  สิงคโปร์  มาเลเซีย  ฟิลิปปินส์  อินโดนีเซีย  และติมอร์ -เลสเต",,,,,,,,,
95,ในระยะแรกของการก่อตั้งสมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้เนื่องมาจากเหตุผลใด,ต้องการรวมกลุ่มทางการค้า,เพื่อสร้างความสัมพันธ์ที่ดีต่อกัน,กลัวภัยคุกคามจากลัทธิคอมมิวนิสต์,กลบัวภัยคุกคามจากลัทธิชาตินิยม,3," กลัวภัยคุกคามจากลัทธิคอมมิวนิสต์ เพราะหลังการการสิ้นสุดสงครามโลกครั้งที่ 2  ได้เกิดภาวะสงครามเย็น
อันเป็นการขัดแย้งด้านอุดมการณ์ทางการเมืองระหว่างประชาธิปไตยกับฝ่ายคอมมิวนิสต์และมีการขยายตัวเพิ่มขึ้น","ตอบ 3.  กลัวภัยคุกคามจากลัทธิคอมมิวนิสต์ เพราะหลังการการสิ้นสุดสงครามโลกครั้งที่ 2  ได้เกิดภาวะสงครามเย็น
อันเป็นการขัดแย้งด้านอุดมการณ์ทางการเมืองระหว่างประชาธิปไตยกับฝ่ายคอมมิวนิสต์และมีการขยายตัวเพิ่มขึ้น",,,,,,,,,
96,สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้มีจุดมุ่งหมายสำคัญเพื่อร่วมมือกันพัฒนาในด้านใดมากที่สุด,ทางด้านเศรษฐกิจ,ทางด้านวัฒนธรรม,ทางด้านทหาร,ทางด้านวิทยาศาสตร์และเทคโนโลยี,1," ทางด้านเศษฐกิจ  เพราะจุดมุ่งหมายที่สำคัญที่สุดของสมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้หรือ
อาเซียน  ไ ด้แ  ความร่วมมือทางด้านเศรษฐกิจเพื่อมูลค่าและปริมาณทางด้านการค้าระหว่างกันให้มากขึ้น 
โดยลดอุปสรรคที่เป็นปัญหาให้น้อยลง","ตอบ 1.  ทางด้านเศษฐกิจ  เพราะจุดมุ่งหมายที่สำคัญที่สุดของสมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้หรือ
อาเซียน  ไ ด้แ  ความร่วมมือทางด้านเศรษฐกิจเพื่อมูลค่าและปริมาณทางด้านการค้าระหว่างกันให้มากขึ้น 
โดยลดอุปสรรคที่เป็นปัญหาให้น้อยลง",,,,,,,,,
